village_code,village_name,sub_district_code,district_code,state_code
222604,Naunaddi,1124,210,10
222605,Jhokha Dangi,1124,210,10
222606,Koltha,1124,210,10
222607,Mahsul,1124,210,10
222608,Maria,1124,210,10
222609,Chhatar Gachh,1124,210,10
222610,Nandakuri,1124,210,10
222611,Singhiamari,1124,210,10
222612,Rasiadangi,1124,210,10
222613,Pharabari,1124,210,10
222614,Mahogarh,1124,210,10
222615,Lodhabari,1124,210,10
222616,Kharkhari,1124,210,10
222617,Arrabari,1124,210,10
222618,Geramari,1124,210,10
222619,Miramani,1124,210,10
222620,Indarpur Khurd,1124,210,10
222621,Indarpur,1124,210,10
222622,Bolasan,1124,210,10
222623,Raipur,1124,210,10
222624,Keso Jara,1124,210,10
222625,Dhobinia,1124,210,10
222626,Haldagaon,1124,210,10
222627,Chhagalia,1124,210,10
222628,Kulthibari,1124,210,10
222629,Damarbari,1124,210,10
222630,Parlabari Milik,1124,210,10
222631,Kala Singhia,1124,210,10
222632,Parla Bari,1124,210,10
222633,Damal Bari,1124,210,10
222634,Lukundra,1124,210,10
222635,Taria,1124,210,10
222636,Bagalbari Milik Arazi,1124,210,10
222637,Jahangirpur,1124,210,10
222638,Ratua,1124,210,10
222639,Saradighi,1124,210,10
222640,Adhikari,1124,210,10
222641,Sita Jhari,1124,210,10
222642,Sita Jhari,1124,210,10
222643,Sitalpur,1124,210,10
222644,Kalakachu,1124,210,10
222645,Naribasar,1124,210,10
222646,Gobinda,1124,210,10
222647,Lohagara,1124,210,10
222648,Paharkatta,1124,210,10
222649,Panasi,1124,210,10
222650,Ratanpur,1124,210,10
222651,Mohania,1124,210,10
222652,Dhekipara,1124,210,10
222653,Jangiabari,1124,210,10
222654,Bagalbari Milik,1124,210,10
222655,Bagalbari,1124,210,10
222656,Bisani,1124,210,10
0,Bahadurganj,1125,210,10
222657,Kasbe Anganj UrfKasbaKhodaganj,1125,210,10
222658,Kharsel,1125,210,10
222659,Dabar,1125,210,10
222660,Lohia Kandar,1125,210,10
222661,Chikabari,1125,210,10
222662,Kumhartoli,1125,210,10
222663,Dala,1125,210,10
222664,Dala Mohiuddinpur,1125,210,10
222665,Altabari,1125,210,10
222666,Deshiatoli,1125,210,10
222667,Sukhani,1125,210,10
222668,Rangamani,1125,210,10
222669,Lohia Kandar,1125,210,10
222670,Belbari,1125,210,10
222671,Bishunpur,1125,210,10
222672,Gangi,1125,210,10
222673,Murmala,1125,210,10
222674,Damdama,1125,210,10
222675,Duadangi,1125,210,10
222676,Brahmotar Gachh,1125,210,10
222677,Pipra Gachh,1125,210,10
222678,Tulshia,1125,210,10
222679,Guabari,1125,210,10
222680,Samesar,1125,210,10
222681,Birnia,1125,210,10
222682,Durgapur Sohadi,1125,210,10
222683,Durgapur Bangaon,1125,210,10
222684,Muktaram Deori,1125,210,10
222685,Chandargaon,1125,210,10
222686,Babhantola Laucha,1125,210,10
222687,Charakpara Laucha,1125,210,10
222688,Chhota Laucha,1125,210,10
222689,Lahsora,1125,210,10
222690,Pahatgaon,1125,210,10
222691,Dogacchi,1125,210,10
222692,Mahesh Bathna,1125,210,10
222693,Laucha,1125,210,10
222694,Jhingakata,1125,210,10
222695,Jhingakata Taufir,1125,210,10
222696,Jhingakata Istamrar,1125,210,10
222697,Dahgaon,1125,210,10
222698,Birpur,1125,210,10
222699,Baisa,1125,210,10
222700,Baisagopalganj,1125,210,10
222701,Tegharia,1125,210,10
222702,Satmeri,1125,210,10
222703,Bochagari,1125,210,10
222704,Ruidhasa,1125,210,10
222705,Tangtangia,1125,210,10
222706,Rupni,1125,210,10
222707,Durgapur,1125,210,10
222708,Haribhasa,1125,210,10
222709,Haribhasa,1125,210,10
222710,Musaldenga,1125,210,10
