village_code,village_name,sub_district_code,district_code,state_code
422893,Maheswaripur,3161,395,21
422894,Kak Bhata,3161,395,21
422895,Lanjigarh Road,3161,395,21
422896,Gajrajapur,3161,395,21
422897,Baghinipadar,3161,395,21
422898,Sikarakupa,3161,395,21
422899,Kauguda,3161,395,21
422900,Kanchili,3161,395,21
0,Lanjigarh  ,3162,395,21
422901,Rangparu,3162,395,21
422902,Kuturimundi dangara,3162,395,21
422903,Shikharguda,3162,395,21
422904,Lamer,3162,395,21
422905,Khaichuan,3162,395,21
422906,Palki,3162,395,21
422907,Janakipadara,3162,395,21
422908,Dengasargi,3162,395,21
422909,Pujerana or Adakhu,3162,395,21
422910,Saibhatta,3162,395,21
422911,Chancharaghati,3162,395,21
422912,Redhapadar,3162,395,21
422913,Barabahali,3162,395,21
422914,Golangbandha,3162,395,21
422915,Badajamkiheju,3162,395,21
422916,Jamkiheju,3162,395,21
422917,Sapulkucha,3162,395,21
422918,Sargiheju,3162,395,21
422919,Champadeipur,3162,395,21
422920,Hariharapur,3162,395,21
422921,Chandanpur,3162,395,21
422922,Khamankhunti,3162,395,21
422923,Nutanbateli,3162,395,21
422924,Bhandaripadar,3162,395,21
422925,Gopinathpur,3162,395,21
422926,Jodabandha,3162,395,21
422927,Pratappur,3162,395,21
422928,Kandhanangalbeda,3162,395,21
422929,Bairikupuli,3162,395,21
422930,Kutunipadar,3162,395,21
422931,Mangalabeda,3162,395,21
422932,Bilatipadar,3162,395,21
422933,Turiguda,3162,395,21
422934,Niali,3162,395,21
422935,Laichhanpur,3162,395,21
422936,Turidangar,3162,395,21
422937,Arabadangar,3162,395,21
422938,Boringpadar,3162,395,21
422939,Harekrusnapur,3162,395,21
422940,Raghunathapur,3162,395,21
422941,Mohanguda,3162,395,21
422942,Bhataguda,3162,395,21
422943,Maskapadar,3162,395,21
422944,Barabali,3162,395,21
422945,Barihakhola,3162,395,21
422946,Leptaguda,3162,395,21
422947,Kutrusol,3162,395,21
422948,Khajorigoda,3162,395,21
422949,Aner,3162,395,21
422950,Asurguda,3162,395,21
422951,Damaghati,3162,395,21
422952,Pengsur,3162,395,21
422953,Damaghati,3162,395,21
422954,Podeikhunti,3162,395,21
422955,Dhanurabhata,3162,395,21
422956,Dhodel,3162,395,21
422957,Kokasur,3162,395,21
422958,Barpali,3162,395,21
422959,Karlijodi,3162,395,21
422960,Litibundel,3162,395,21
422961,Goipata,3162,395,21
422962,Tangankana,3162,395,21
422963,Kashibadi,3162,395,21
422964,Kenduguda,3162,395,21
422965,Malikukudaghara,3162,395,21
422966,Chhatrapur,3162,395,21
422967,Kapaguda,3162,395,21
422968,Belamba,3162,395,21
422969,Batelima,3162,395,21
422970,Kutendeli,3162,395,21
422971,Banipanga,3162,395,21
422972,Rasabundel,3162,395,21
422973,Patradangar,3162,395,21
422974,Kansari,3162,395,21
422975,Parbatipur,3162,395,21
422976,Sindhibahali,3162,395,21
422977,Dengasargi,3162,395,21
422978,Khutuladangar,3162,395,21
422979,Basantapada,3162,395,21
422980,Bandhaguda,3162,395,21
422981,Kinari,3162,395,21
422982,Barabhata,3162,395,21
422983,Kothadwara,3162,395,21
422984,Bundel,3162,395,21
422985,Rengopali,3162,395,21
422986,Narayanpur,3162,395,21
422987,Lanjigarh,3162,395,21
422988,Banigaon,3162,395,21
422989,Bhatajhari,3162,395,21
422990,Netrei,3162,395,21
422991,Kotabundel,3162,395,21
422992,Bandakhal,3162,395,21
422993,Dumenijhola-Damenjhola,3162,395,21
422994,Ghodapokhari,3162,395,21
422995,Baliguda,3162,395,21
422996,Padmathopa,3162,395,21
422997,Khamari,3162,395,21
422998,Pajibahal,3162,395,21
422999,Bengaon,3162,395,21
423000,Telengsur,3162,395,21
423001,Kutingpadar,3162,395,21
423002,Kamalei,3162,395,21
423003,Katlang,3162,395,21
423004,Salpang,3162,395,21
423005,Rangiguda,3162,395,21
423006,Mushiguda,3162,395,21
423007,Kadamguda,3162,395,21
423008,Lermunhi,3162,395,21
423009,Talabara,3162,395,21
423010,Thuangpadar,3162,395,21
423011,Rughaguda,3162,395,21
423012,Kumbharguda,3162,395,21
423013,Kandhasarli,3162,395,21
423014,Dorasarli,3162,395,21
423015,Tarangel,3162,395,21
423016,Betapada,3162,395,21
423017,Dhaunrabhata,3162,395,21
423018,Jamchuan,3162,395,21
423019,Khalaguda,3162,395,21
423020,Balabhadrapur,3162,395,21
423021,Semilivata,3162,395,21
423022,Jagannathapur,3162,395,21
423023,Dangaragarh,3162,395,21
423024,Kandhabasantapada,3162,395,21
423025,Balipadar,3162,395,21
423026,Kadambaguda,3162,395,21
423027,Bhaliabhata,3162,395,21
423028,Mundarajhola dangar,3162,395,21
423029,Gandhani,3162,395,21
423030,Karlaguda,3162,395,21
423031,Sanakhalaguda,3162,395,21
423032,Patangapadar,3162,395,21
423033,Panasapadar,3162,395,21
423034,Sirikijhola,3162,395,21
423035,Bariguda,3162,395,21
423036,Lakhbahal,3162,395,21
423037,Bundel,3162,395,21
423038,Ghatikundru,3162,395,21
423039,Raksi,3162,395,21
423040,Jamchuan,3162,395,21
423041,Semelguda,3162,395,21
423042,Khalguda,3162,395,21
423043,Borpadar,3162,395,21
423044,Patangpadar,3162,395,21
423045,Titijhola,3162,395,21
423046,Kenduguda,3162,395,21
423047,Dakariguda,3162,395,21
423048,Balisara,3162,395,21
423049,Soroguda,3162,395,21
423050,Kadomali,3162,395,21
423051,Ambaguda,3162,395,21
423052,Phadrguda,3162,395,21
423053,Olabali,3162,395,21
423054,Golakuma,3162,395,21
423055,Belangabundel,3162,395,21
423056,Trilochanpur,3162,395,21
423057,Kidingbhata,3162,395,21
423058,Phuldumer,3162,395,21
423059,Palbiri,3162,395,21
423060,Kanakudu,3162,395,21
423061,Tadijhola,3162,395,21
423062,Haridaguda,3162,395,21
423063,Shyamsundarpur,3162,395,21
423064,Belguda,3162,395,21
423065,Dangabahal,3162,395,21
423066,Sapachanchara,3162,395,21
423067,Talkalima,3162,395,21
423068,Gopiguda,3162,395,21
423069,Purnapani,3162,395,21
423070,Sahajpada,3162,395,21
423071,Sindhabhata,3162,395,21
423072,Kharka,3162,395,21
423073,Madanguda,3162,395,21
423074,Parapadar,3162,395,21
423075,Malipada,3162,395,21
423076,Kanchanmuhin,3162,395,21
423077,Badasemelpadar,3162,395,21
423078,Ushabahali,3162,395,21
423079,Kutruguda,3162,395,21
423080,Kanaksarpa,3162,395,21
423081,Nishanpur,3162,395,21
423082,Malijubang,3162,395,21
423083,Kandhajubang,3162,395,21
423084,Bankakundru,3162,395,21
423085,Bengbhata,3162,395,21
423086,Karnamunda,3162,395,21
423087,Pradhanipada,3162,395,21
423088,Bijepur,3162,395,21
423089,Melbahali,3162,395,21
423090,Mainaguda alias -Amathapada,3162,395,21
423091,Gaudathuaguda,3162,395,21
423092,Ladang,3162,395,21
423093,Beherankupuli -alias Beherenpinda,3162,395,21
423094,Paruabhadi,3162,395,21
423095,Jalakirida,3162,395,21
