village_code,village_name,sub_district_code,district_code,state_code
620113,Gour (B),5581,579,29
620114,Belurgi,5581,579,29
620115,Badadal,5581,579,29
620116,Arjungi,5581,579,29
620117,Kulali,5581,579,29
620118,Revoor (K),5581,579,29
620119,Bamni,5581,579,29
620120,Revoor (B),5581,579,29
620121,Chincholi,5581,579,29
620122,Haliyal,5581,579,29
620123,Afzalpur (Rural),5581,579,29
620124,Matoli,5581,579,29
620125,Mallabad,5581,579,29
620126,Bilwad (K),5581,579,29
620127,Tellur,5581,579,29
620128,Anur,5581,579,29
620129,Banhatti,5581,579,29
620130,Shivpur,5581,579,29
620131,Kesapur,5581,579,29
620132,Hinchgera,5581,579,29
620133,Kalur,5581,579,29
620134,Bilwad (B),5581,579,29
620135,Karkanahalli,5581,579,29
620136,Batgera,5581,579,29
620137,Guolnur,5581,579,29
620138,Ingalgi (K),5581,579,29
620139,Hawalga,5581,579,29
620140,Ghatterga,5581,579,29
620141,Kolnur,5581,579,29
620142,Guddewadi,5581,579,29
620143,Sidnur,5581,579,29
620144,Ankalga,5581,579,29
620145,Goudgaon,5581,579,29
620146,Kognur,5581,579,29
620147,Gudur,5581,579,29
620148,Neeloor,5581,579,29
620149,Bhairamadgi,5581,579,29
620150,Diksanga (B),5581,579,29
620151,Karbhosga,5581,579,29
620152,Bhognalli,5581,579,29
620153,Atnoor,5581,579,29
620154,Madra (K),5581,579,29
620155,Dannur,5581,579,29
620156,Madra (B),5581,579,29
620157,Wadhalli,5581,579,29
620158,Shivajinagar,5581,579,29
620159,Badnalli,5581,579,29
620160,Ingalgi (B),5581,579,29
620161,Awarad,5581,579,29
620162,D.Ghangapur,5581,579,29
620163,Chowdapur,5581,579,29
620164,Gobbur (B),5581,579,29
620165,Gobbur (K),5581,579,29
620166,Hawanur,5581,579,29
620167,Bidnur,5581,579,29
620168,Awarhalli,5581,579,29
620169,Banderwad,5581,579,29
620170,Chinmmgera,5581,579,29
620171,Teghalli,5581,579,29
620172,Hasargundgi,5581,579,29
620173,Huvinhalli,5581,579,29
620174,Siragi,5581,579,29
620175,Taklu,5581,579,29
620176,Umerga,5581,579,29
620177,Sagnur,5581,579,29
620178,Kirsavalgi,5581,579,29
620179,Chinmalla,5581,579,29
620180,Kekarsawalgi,5581,579,29
0,Gulbarga ,5582,579,29
620181,Warnihal,5582,579,29
620182,Kalmandergi,5582,579,29
620183,Dongeragaon,5582,579,29
620184,Kinnisadak,5582,579,29
620185,Gobburwadi,5582,579,29
620186,Nilkod,5582,579,29
620187,Patwada,5582,579,29
620188,Malsapur,5582,579,29
620189,Honnahalli,5582,579,29
620190,Dhorjambga,5582,579,29
620191,Marmanchi,5582,579,29
620192,Marguthi,5582,579,29
620193,Bhimnal,5582,579,29
620194,Bachnal,5582,579,29
620195,Okali,5582,579,29
620196,Rajanhal,5582,579,29
620197,Navanihal,5582,579,29
620198,Kamalapur,5582,579,29
620199,Dinshikurnur,5582,579,29
620200,Antapnhal,5582,579,29
620201,Belura,5582,579,29
620202,Bhunyara(K),5582,579,29
620203,Kawanhalli,5582,579,29
620204,Kalmud,5582,579,29
620205,Sonth,5582,579,29
620206,Kinnisarposh,5582,579,29
620207,Mahagaon,5582,579,29
620208,Belkotta,5582,579,29
620209,Dastapur,5582,579,29
620210,Navadgi (K),5582,579,29
620211,Navadgi (B),5582,579,29
620212,Holkunda,5582,579,29
620213,Jeevangi,5582,579,29
620214,Gogi,5582,579,29
620215,Tadkal,5582,579,29
620216,Kathalli,5582,579,29
620217,Kurikota,5582,579,29
620218,Siradhone,5582,579,29
620219,Bhusangi,5582,579,29
620220,Kannura,5582,579,29
620221,Bablad (T.K.),5582,579,29
620222,Yalvanthi (B),5582,579,29
620223,Kagganmardi,5582,579,29
620224,Ankalga,5582,579,29
620225,Sirgapur,5582,579,29
620226,Tondkal,5582,579,29
620227,Yankanchi,5582,579,29
620228,Harkanchi,5582,579,29
620229,Kadbur,5582,579,29
620230,Nagoora,5582,579,29
620231,Ashta,5582,579,29
620232,Kalhangerga,5582,579,29
620233,Jamga (B),5582,579,29
620234,Kumsi,5582,579,29
620235,Bannura,5582,579,29
620236,Awrad (B),5582,579,29
620237,Algud,5582,579,29
620238,Tawargera,5582,579,29
620239,Ganjalnkhed,5582,579,29
620240,Belura (J),5582,579,29
620241,Malgathi,5582,579,29
620242,Bhopal Tegnur,5582,579,29
620243,Keroor,5582,579,29
620244,Halsultanpur,5582,579,29
620245,Harsoor,5582,579,29
620246,Venkatbennur,5582,579,29
620247,Injihal,5582,579,29
620248,Khajikotnur,5582,579,29
620249,Itga Ahmadabad,5582,579,29
620250,Kalbenur,5582,579,29
620251,Srinivas Saradgi,5582,579,29
620252,Kalagnoor,5582,579,29
620253,Zhapur,5582,579,29
620254,Pala,5582,579,29
620255,Sannur,5582,579,29
620256,Bolewad,5582,579,29
620257,Madarsanhalli,5582,579,29
620258,Jaferabad,5582,579,29
620259,Pallapur,5582,579,29
620260,Shaikroza,5582,579,29
620261,Nizampur,5582,579,29
620262,Kapnoor,5582,579,29
620263,Uplaon,5582,579,29
620264,Hagargi,5582,579,29
620265,Azadpur,5582,579,29
620266,Kusnoor (Part),5582,579,29
620267,Naganhalli *,5582,579,29
620268,Udnoor,5582,579,29
620269,Panegaon,5582,579,29
620270,Sitnoor,5582,579,29
620271,Nandikur,5582,579,29
620272,Kesratgi,5582,579,29
620273,Nandoor (K),5582,579,29
620274,Dharmapur,5582,579,29
620275,Nandoor (B),5582,579,29
620276,Hatkunda,5582,579,29
620277,Pattan,5582,579,29
620278,Bhimanhalli,5582,579,29
620279,Syed Chincholi,5582,579,29
620280,Taj Sultanpur,5582,579,29
620281,Keribhosga,5582,579,29
620282,Sindagi,5582,579,29
620283,Bablad Sindagi,5582,579,29
620284,Savalgi (B),5582,579,29
620285,Yelvanthi (K),5582,579,29
620286,Hunsihadgil,5582,579,29
620287,Melkunda (B),5582,579,29
620288,Kadnal,5582,579,29
620289,Machnal,5582,579,29
620290,Malni,5582,579,29
620291,Kollur,5582,579,29
620292,Melkunda (K),5582,579,29
620293,Hadgilharuti,5582,579,29
620294,Kadni,5582,579,29
620295,Sirasgi,5582,579,29
620296,Garoor (K),5582,579,29
620297,Garoor (B),5582,579,29
620298,Minajgi,5582,579,29
620299,Tadtegnoor,5582,579,29
620300,Sirnoor,5582,579,29
620301,Khandal,5582,579,29
620302,Itga Khandal,5582,579,29
620303,Farhatabad,5582,579,29
620304,Hagargundagi,5582,579,29
620305,Kawalga (B),5582,579,29
620306,Jogur,5582,579,29
620307,Maniyal,5582,579,29
620308,Herur (B),5582,579,29
620309,Belgumpa (K),5582,579,29
620310,Basavapattana,5582,579,29
620311,Kawalga (K),5582,579,29
620312,Aurad (K),5582,579,29
620313,Siradgi (Bhatad),5582,579,29
620314,Tilgul,5582,579,29
620315,Balwad,5582,579,29
620316,Naddisinur,5582,579,29
620317,Ferozabad,5582,579,29
620318,Somnathahalli,5582,579,29
620319,Nadvinhalli,5582,579,29
620320,Kiranagi,5582,579,29
620321,Rajapur (OG),5582,579,29
620322,Kotnoor Darwesh (OG),5582,579,29
620266,Kusnoor (OG) (Part) ,5582,579,29
0,Chincholi ,5583,579,29
620323,Chengta,5583,579,29
620324,Bhunyar[B],5583,579,29
620325,Bhunyar[K],5583,579,29
620326,Khanapur,5583,579,29
620327,Ainapur,5583,579,29
620328,Benkeppalli,5583,579,29
620329,Salgar Basanthpur,5583,579,29
620330,Yetabarpur,5583,579,29
620331,Salebeernhalli,5583,579,29
620332,Tumkunta,5583,579,29
620333,Hasargundgi,5583,579,29
620334,Gurampalli,5583,579,29
620335,Nagarhal,5583,579,29
620336,Yalmamdi,5583,579,29
620337,Channur,5583,579,29
620338,Gadilingdhalli,5583,579,29
620339,Kotga,5583,579,29
620340,Dhuttarga,5583,579,29
620341,Gongi,5583,579,29
620342,Pangarga,5583,579,29
620343,Chandankera,5583,579,29
620344,Ranapur,5583,579,29
620345,Sasargaon,5583,579,29
620346,Narnal,5583,579,29
620347,Chimmanchod,5583,579,29
620348,Tajlapur,5583,579,29
620349,Marpalli,5583,579,29
620350,Shikarm0Takpalli,5583,579,29
620351,Yempalli,5583,579,29
620352,Garampalli,5583,579,29
620353,Tirmalapur,5583,579,29
620354,Kusrampalli,5583,579,29
620355,Manikpur,5583,579,29
620356,Gottamgotta[K] *,5583,579,29
620357,Gottamgotta,5583,579,29
620358,Sangapur,5583,579,29
620359,Katangidda,5583,579,29
620360,Srinagar,5583,579,29
620361,Venkatapur,5583,579,29
620362,Dharmasagar,5583,579,29
620363,Chandrampalli,5583,579,29
620364,Kollur,5583,579,29
620365,Nagaidlai,5583,579,29
620366,Patpalli,5583,579,29
620367,Degalmadi,5583,579,29
620368,Fathepur,5583,579,29
620369,Ainoli,5583,579,29
620370,Bhikkanhalli,5583,579,29
620371,Burugdoddi,5583,579,29
620372,Antwaram,5583,579,29
620373,Linganagar,5583,579,29
620374,Bhonaspur,5583,579,29
620375,Shivrampur,5583,579,29
620376,Magdampur,5583,579,29
620377,Shivredpalli,5583,579,29
620378,Konchawaram,5583,579,29
620379,Pochawaram,5583,579,29
620380,Jilwarsha,5583,579,29
620381,Chindnoor,5583,579,29
620382,Lachmasagar,5583,579,29
620383,Mambapur,5583,579,29
620384,Hanumannagar,5583,579,29
620385,Shadipur,5583,579,29
620386,Yakatpur,5583,579,29
620387,Nirchalma,5583,579,29
620388,Bhoglingdhalli,5583,579,29
620389,Kalbhavi,5583,579,29
620390,Chincholi [R],5583,579,29
620391,Neemahosalli,5583,579,29
620392,Goudanhalli,5583,579,29
620393,Daultapur,5583,579,29
620394,Indarpadhosali,5583,579,29
620395,Anwar,5583,579,29
620396,Polakpalli,5583,579,29
620397,Chikkalingadhalli,5583,579,29
620398,Somlingadhalli,5583,579,29
620399,Ganganpalli,5583,579,29
620400,Kallur Road,5583,579,29
620401,Bhairampalli,5583,579,29
620402,Miryan,5583,579,29
620403,Mukramba,5583,579,29
620404,Hulsgud,5583,579,29
620405,Gandhinagar,5583,579,29
620406,Rummungud,5583,579,29
620407,Mogha,5583,579,29
620408,Pastpur,5583,579,29
620409,Rustumpur,5583,579,29
620410,Dhotikol,5583,579,29
620411,Khudavandpur,5583,579,29
620412,Karakmukli,5583,579,29
620413,Hudadhalli,5583,579,29
620414,Chimmaidlai,5583,579,29
620415,Dastapur,5583,579,29
620416,Yelakpalli,5583,579,29
620417,Khairtapur,5583,579,29
620418,Moranhal,5583,579,29
620419,Huvinbhavi,5583,579,29
620420,Ganjgera,5583,579,29
620421,Chinkunta,5583,579,29
620422,Tadpalli,5583,579,29
620423,Allapur,5583,579,29
