village_code,village_name,sub_district_code,district_code,state_code
323859,Natkora,2334,337,19
323860,Hatgachhi,2334,337,19
323861,Kanmari,2334,337,19
323862,Khariat Abad,2334,337,19
323863,Baunia Abad,2334,337,19
323864,Nyazat,2334,337,19
323865,Bayar Mari Abad,2334,337,19
323866,Dashin Akhratala,2334,337,19
323867,Putimari,2334,337,19
323868,Gazalia,2334,337,19
323869,Ghatihara,2334,337,19
323870,Ghoshpur,2334,337,19
323871,Kalinagar,2334,337,19
323872,Raypur,2334,337,19
323873,Radhanagar,2334,337,19
323874,Chhota Sehara,2334,337,19
323875,Nityabaria,2334,337,19
323876,Bara Sehara,2334,337,19
323877,Bholakhali,2334,337,19
0,Sandeshkhali - II,2335,337,19
323878,Rampur,2335,337,19
323879,Dhamakhali,2335,337,19
323880,Jhupkhali,2335,337,19
323881,Bermajur,2335,337,19
323882,Tongtala,2335,337,19
323883,Bouthakurani,2335,337,19
323884,Dwarir Jangle,2335,337,19
323885,Dholkhali,2335,337,19
323886,Khulna,2335,337,19
323887,Hatgachha,2335,337,19
323888,Sitalia,2335,337,19
323889,Atapur,2335,337,19
323890,Tushkhali,2335,337,19
323891,Bhangatushkhali,2335,337,19
323892,Jeliakhali Purba Khanda,2335,337,19
323893,Jeliakhali Pashchim Khanda,2335,337,19
323894,Sukhdoani,2335,337,19
323895,Gabbaria,2335,337,19
323896,Daudpur,2335,337,19
323897,Joygopalpur,2335,337,19
323898,Korakati,2335,337,19
323899,Durgamandap,2335,337,19
323900,Dhuchnikhali,2335,337,19
323901,Manipur,2335,337,19
0,Hasnabad,2336,337,19
323902,Garakupi,2336,337,19
323903,Khorda,2336,337,19
323904,Jalsira,2336,337,19
323905,Konanagar,2336,337,19
323906,Gobindapur,2336,337,19
323907,Ghola,2336,337,19
323908,Sadarpur,2336,337,19
323909,Murarisaha,2336,337,19
323910,Pipharaghabpur,2336,337,19
323911,Ghanashyampur,2336,337,19
323912,Habaspur,2336,337,19
323913,Jambaria,2336,337,19
323914,Rajapura,2336,337,19
323915,Kaugachhi,2336,337,19
323916,Kerundia,2336,337,19
323917,Dakshin Bhebia,2336,337,19
323918,Kharampurabad,2336,337,19
323919,Chimta,2336,337,19
323920,Bhabanipur,2336,337,19
323921,Kharampur,2336,337,19
323922,Ramanandapur,2336,337,19
323923,Nawapara,2336,337,19
323924,Chalitabaria,2336,337,19
323925,Jamberiaabad,2336,337,19
323926,Parbhabanipur,2336,337,19
323927,Kuliadanga Abad,2336,337,19
323928,Chakk Uliadanga,2336,337,19
323929,Tegharia,2336,337,19
323930,Makhalgachha,2336,337,19
323931,Muragachha,2336,337,19
323932,Harikati,2336,337,19
323933,Krishnapara,2336,337,19
323934,Chandpur,2336,337,19
323935,Asharianarayanpur,2336,337,19
323936,Chhaimalpur,2336,337,19
323937,Sirajpur,2336,337,19
323938,Nandanpur,2336,337,19
323939,Takipur,2336,337,19
323940,Sundaria,2336,337,19
323941,Haripur,2336,337,19
323942,Dholtukari,2336,337,19
323943,Mohanpur,2336,337,19
323944,Raghabpur,2336,337,19
323945,Mohanpurabad,2336,337,19
323946,Amlani,2336,337,19
323947,Angnara,2336,337,19
323948,Simulia,2336,337,19
323949,Chak Tengramari,2336,337,19
323950,Chak Khanpukur,2336,337,19
323951,Purbba Chak,2336,337,19
323952,Hasnabad,2336,337,19
323953,Monoharpur,2336,337,19
323954,Rameswarpur,2336,337,19
323955,Kalutala,2336,337,19
323956,Char Rameswarpur,2336,337,19
323957,Char Narayanpur,2336,337,19
323958,Chanpatala,2336,337,19
323959,Kharur,2336,337,19
323960,Patlikhanpur,2336,337,19
323961,Jaygaon,2336,337,19
323962,Baliadanga,2336,337,19
323963,Ghuni,2336,337,19
323964,Amrulgachha,2336,337,19
323965,Bezpatli,2336,337,19
323966,Bena,2336,337,19
323967,Chak Patli,2336,337,19
323968,Shulkuniabad,2336,337,19
323969,Bhurkunda,2336,337,19
323970,Ghoshalati,2336,337,19
323971,Bedemari,2336,337,19
323972,Ichhapur,2336,337,19
323973,Kantakhali,2336,337,19
323974,Rajnagar,2336,337,19
323975,Barunhat,2336,337,19
323976,Sadigachhi (CT),2336,337,19
0,Hingalganj,2337,337,19
323977,Durgapur Baylani,2337,337,19
323978,Dharam Baria,2337,337,19
323979,Bispur,2337,337,19
323980,Purbba Khejurbaria,2337,337,19
323981,Paschim Khejurbaria,2337,337,19
323982,Pubergheri,2337,337,19
323983,Kakaria,2337,337,19
323984,Dhanikhali,2337,337,19
323985,Bainara,2337,337,19
323986,Kumirmari,2337,337,19
323987,Rupmari,2337,337,19
323988,Banstala,2337,337,19
323989,Bhandarkhali,2337,337,19
323990,Kothabbari,2337,337,19
323991,Ambaria,2337,337,19
323992,Sandelerbil,2337,337,19
323993,Mamudpur,2337,337,19
323994,Bankra Dobar,2337,337,19
323995,Singherkati,2337,337,19
323996,Khosbash,2337,337,19
