village_code,village_name,sub_district_code,district_code,state_code
521966,Bhimpura,3914,488,24
521967,Rodh,3914,488,24
521968,Sarbhan,3914,488,24
521969,Sunthodra,3914,488,24
521970,Ochhan,3914,488,24
521971,Karena,3914,488,24
521972,Ikhar,3914,488,24
521973,Telod,3914,488,24
521974,Danda,3914,488,24
521975,Malkinpura Alias Timbi,3914,488,24
521976,Ninam,3914,488,24
521977,Shrikothi,3914,488,24
521978,Sonama,3914,488,24
521979,Tegva,3914,488,24
521980,Nahier,3914,488,24
521981,Intola,3914,488,24
521982,Roza Tankariya,3914,488,24
521983,Kolavana,3914,488,24
521984,Buva,3914,488,24
521985,Kerwada,3914,488,24
521986,Bodka,3914,488,24
521987,Asnera,3914,488,24
521988,Anor,3914,488,24
521989,Ghamnad,3914,488,24
521990,Dora,3914,488,24
521991,Kothi Vantarsa,3914,488,24
521992,Amarpor Alias Simartha,3914,488,24
521993,Kurchan,3914,488,24
521994,Ranada,3914,488,24
521995,Tanchha,3914,488,24
521996,Samiala,3914,488,24
521997,Sudi,3914,488,24
521998,Keshlu,3914,488,24
521999,Vantarsa,3914,488,24
522000,Samani,3914,488,24
0,Vagra,3915,488,24
522001,Gandhar,3915,488,24
522002,Muler,3915,488,24
522003,Paldi,3915,488,24
522004,Chanchvel,3915,488,24
522005,Badalpura,3915,488,24
522006,Vinchhiyad,3915,488,24
522007,Khadkhandali,3915,488,24
522008,Ora,3915,488,24
522009,Vagra,3915,488,24
522010,Sachan,3915,488,24
522011,Pahaj,3915,488,24
522012,Ochchhan,3915,488,24
522013,Keshwan,3915,488,24
522014,Trankal,3915,488,24
522015,Aladar,3915,488,24
522016,Harinagar,3915,488,24
522017,Paniadara,3915,488,24
522018,Goladara,3915,488,24
522019,Ambhel,3915,488,24
522020,Limdi,3915,488,24
522021,Kalam,3915,488,24
522022,Mosam,3915,488,24
522023,Pisad,3915,488,24
522024,Vastikhandali,3915,488,24
522025,Rahad,3915,488,24
522026,Vachhnad,3915,488,24
522027,Saladara,3915,488,24
522028,Ankot,3915,488,24
522029,Juned,3915,488,24
522030,Saran,3915,488,24
522031,Sutrel,3915,488,24
522032,Vahiyal,3915,488,24
522033,Pipalia,3915,488,24
522034,Pakhajan,3915,488,24
522035,Nadarkha,3915,488,24
522036,Narnavi,3915,488,24
