village_code,village_name,sub_district_code,district_code,state_code
123038,Tikari Kalan,758,144,9
123039,Wajidpur,758,144,9
123040,Nijra Gokulpur,758,144,9
123041,Narharpur Dostpur,758,144,9
123042,Guraitha Sultanpur,758,144,9
123043,Arifpur Bhogpur,758,144,9
123044,Barmau,758,144,9
123045,Kizerpur,758,144,9
123046,Bhuria,758,144,9
123047,Dariyapur Urf Nagla Bhanchand,758,144,9
123048,Badhanoo,758,144,9
123049,Sujawalpur,758,144,9
123050,Bhikanpur,758,144,9
123051,Murha Navjarpur,758,144,9
123052,Bhainsmai,758,144,9
123053,Dandesri,758,144,9
123054,Chhonkara,758,144,9
123055,Pachayata,758,144,9
123056,Firozpur,758,144,9
123057,Bartar Khas,758,144,9
123058,Pachon,758,144,9
123059,Nagla Chikana,758,144,9
123060,Rampur Tappa Agsauli,758,144,9
123061,Bhatkira,758,144,9
123062,Mahmoodpur,758,144,9
123063,Kheria Tappa Agsauli,758,144,9
123064,Agsauli,758,144,9
123065,Birawar,758,144,9
123066,Khijarpur Qasba,758,144,9
123067,Arnia Talesra,758,144,9
123068,Nauratha Isapur,758,144,9
123069,Bargawan,758,144,9
123070,Kachaura,758,144,9
123071,Anandpur,758,144,9
123072,Ganthari Shahpur,758,144,9
123073,Tikari Khurd,758,144,9
123074,Thathpur,758,144,9
123075,Ainchola Sahadatpur,758,144,9
123076,Sanjarpur,758,144,9
123077,Rampur Nagla Chatol,758,144,9
123078,Nawali Lalpur,758,144,9
123079,Sikandra Rao Dehat,758,144,9
123080,Ikbalpur,758,144,9
123081,Kheria Khurd,758,144,9
123082,Barai Shahpur,758,144,9
123083,Pipal Gawan,758,144,9
123084,Agrana Jarara,758,144,9
123085,Bhisi Mirzapur,758,144,9
123086,Dahgawan,758,144,9
123087,Sichawali Sani,758,144,9
123088,Basai Bawas,758,144,9
123089,Rampur,758,144,9
123090,Girdharpur,758,144,9
123091,Nagla Govind Urf Naujarpur,758,144,9
123092,Bastoi,758,144,9
123093,Jauinayatpur,758,144,9
123094,Muraithi,758,144,9
123095,Dhubai,758,144,9
123096,Manaura,758,144,9
123097,Sultanpur Khera,758,144,9
123098,Jahangirpur Kondra,758,144,9
123099,Amausi,758,144,9
123100,Ginauli Kishanpur,758,144,9
123101,Bahadur Pur,758,144,9
123102,Rajapur,758,144,9
123103,Baramai Nagla Bijan,758,144,9
123104,Kheria Kalan,758,144,9
123105,Sherpur,758,144,9
123106,Sichawali Kadeem,758,144,9
123107,Narai,758,144,9
123108,Phulrai Mughal Garhi,758,144,9
123109,Chandanpura,758,144,9
123110,Mandi,758,144,9
123111,Jirauli Kalan,758,144,9
123112,Amritpur Asadpur,758,144,9
123113,Jirauli Khurd,758,144,9
123114,Rampur Tappa Pora,758,144,9
123115,Azmatpur Ajgara,758,144,9
123116,Sidhauli,758,144,9
123117,Paindapur,758,144,9
123118,Sakhi Abu Talibpur,758,144,9
123119,Pora,758,144,9
123120,Jansoi,758,144,9
123121,Jareenpur Bhuraka,758,144,9
123122,Mahamai Ismailpur,758,144,9
123123,Daunkeli,758,144,9
123124,Barsamai,758,144,9
123125,Asoi,758,144,9
123126,Fatepur Bajhera,758,144,9
123127,Sihori,758,144,9
123128,Bari,758,144,9
123129,Maidamai,758,144,9
123130,Bhainkuri,758,144,9
123131,Nagla Sakat,758,144,9
123132,Uldapur,758,144,9
123133,Nagla Mian Patti Devari,758,144,9
123134,Nagla Vari Patti Devari,758,144,9
123135,Nagaria Patti Devari,758,144,9
123136,Lodhepur Patti Devari,758,144,9
123137,Bapandai,758,144,9
123138,Katai,758,144,9
123139,Jarera,758,144,9
123140,Shankarpur,758,144,9
123141,Bharatpur,758,144,9
123142,Bakayan,758,144,9
123143,Mathurapur,758,144,9
123144,Andoli,758,144,9
123145,Badanpur,758,144,9
123146,Itarani,758,144,9
123147,Garhaula,758,144,9
123148,Mahewa,758,144,9
123149,Nabipur,758,144,9
123150,Nagla Kanch,758,144,9
123151,Kalupura,758,144,9
123152,Pichhauti,758,144,9
123153,Nagla Shekha,758,144,9
123154,Seedhamai,758,144,9
123155,Gopalpur,758,144,9
123156,Khitauli,758,144,9
123157,Naglapar,758,144,9
123158,Chhitupur,758,144,9
123159,Nijamatpur,758,144,9
123160,Gyanpur,758,144,9
123161,Siktara,758,144,9
123162,Garhi Birbal,758,144,9
123163,Nagla Al,758,144,9
123164,Nagla Dali,758,144,9
123165,Shri Nagar,758,144,9
123166,Haitha Raghunathpur,758,144,9
123167,Maha Singh Pur,758,144,9
123168,Rajnagar,758,144,9
123169,Rasulpur,758,144,9
123170,Ram Nagaria,758,144,9
123171,Banwaripur,758,144,9
123172,Band Abdulhaipur,758,144,9
123173,Mandanpur,758,144,9
123174,Gangapur,758,144,9
123175,Dhandauli,758,144,9
123176,Nagla Tatar,758,144,9
123177,Alahdinpur,758,144,9
123178,Shahbazpur,758,144,9
123179,Kanau,758,144,9
123180,Bhinter,758,144,9
123181,Barsauli,758,144,9
0,Hathras,759,144,9
123182,Barauli,759,144,9
123183,Mauhari,759,144,9
123184,Vahanpur,759,144,9
123185,Nagla Tajana,759,144,9
123186,Jahangirpur,759,144,9
123187,Bhadamai,759,144,9
123188,Kailora,759,144,9
123189,Nagla Keson,759,144,9
123190,Hajipur,759,144,9
123191,Chhatarpur,759,144,9
